Datetime,Actual,Predicted,Residual,z_roll,iso_score,resid_rz,roll_anom,iso_anom,resid_anom,z_anom,iqr_anom,methods_agree,severity,is_anomaly,direction,flagged_by,hour,weekday
2010-04-24 21:00:00,3.1433,3.085,0.0583,,-0.0022,4.4001,False,True,False,False,False,1,low,False,higher,isolation_forest,21,Saturday
2010-04-25 01:00:00,2.7611,2.6693,0.0919,,0.0144,6.3577,False,False,True,True,True,1,low,False,higher,residual,1,Sunday
2010-05-01 14:00:00,2.5501,2.4532,0.0969,,-0.0047,6.648,False,True,True,False,False,2,medium,True,higher,"isolation_forest,residual",14,Saturday
2010-05-02 12:00:00,3.5631,3.456,0.1071,,-0.0401,7.2437,False,True,True,False,False,2,medium,True,higher,"isolation_forest,residual",12,Sunday
2010-05-02 19:00:00,3.7739,3.761,0.0129,3.8339,-0.0508,1.7513,True,True,False,False,False,2,medium,True,higher,"rolling_z,isolation_forest",19,Sunday
2010-05-02 20:00:00,2.5308,2.4049,0.1259,1.8843,0.0106,8.3395,False,False,True,False,False,1,low,False,higher,residual,20,Sunday
2010-05-08 09:00:00,2.4222,2.3108,0.1114,1.8653,0.0136,7.4962,False,False,True,False,False,1,low,False,higher,residual,9,Saturday
2010-05-08 21:00:00,3.273,3.2663,0.0067,1.8386,-0.0227,1.3941,False,True,False,False,False,1,low,False,higher,isolation_forest,21,Saturday
2010-05-09 10:00:00,2.589,2.5899,-0.0009,1.8343,-0.0023,0.9485,False,True,False,False,False,1,low,False,higher,isolation_forest,10,Sunday
2010-05-09 20:00:00,2.4892,2.3667,0.1225,1.3613,0.06,8.1428,False,False,True,False,False,1,low,False,higher,residual,20,Sunday
2010-05-13 18:00:00,2.9792,2.9077,0.0715,3.6563,0.0039,5.1707,True,False,False,False,True,1,low,False,higher,rolling_z,18,Thursday
2010-05-13 20:00:00,1.8061,1.7172,0.0889,0.3959,0.151,6.1829,False,False,True,False,False,1,low,False,higher,residual,20,Thursday
2010-05-15 21:00:00,3.7896,3.6881,0.1014,2.2391,-0.0054,6.915,False,True,True,False,False,2,medium,True,higher,"isolation_forest,residual",21,Saturday
2010-05-15 23:00:00,3.8198,3.7575,0.0624,6.3729,-0.0327,4.6373,True,True,False,True,True,2,medium,True,higher,"rolling_z,isolation_forest",23,Saturday
2010-05-16 00:00:00,1.8755,1.8422,0.0334,3.1057,0.0255,2.9474,True,False,False,False,False,1,low,False,higher,rolling_z,0,Sunday
2010-05-16 02:00:00,1.9567,1.9596,-0.0029,3.5946,0.0651,0.8318,True,False,False,False,True,1,low,False,higher,rolling_z,2,Sunday
2010-05-16 03:00:00,1.4462,1.4693,-0.0231,3.3493,0.0761,-0.3426,True,False,False,False,True,1,low,False,higher,rolling_z,3,Sunday
2010-05-16 14:00:00,3.4862,3.4589,0.0273,3.1287,-0.043,2.592,True,True,False,False,False,2,medium,True,higher,"rolling_z,isolation_forest",14,Sunday
2010-05-16 19:00:00,3.1689,3.1548,0.0141,2.2565,-0.0324,1.8239,False,True,False,False,False,1,low,False,higher,isolation_forest,19,Sunday
2010-05-29 18:00:00,3.412,3.3201,0.0919,4.2988,-0.031,6.359,True,True,True,False,False,3,high,True,higher,"rolling_z,isolation_forest,residual",18,Saturday
2010-06-04 21:00:00,1.8008,1.7145,0.0863,0.1418,0.1087,6.0352,False,False,True,False,False,1,low,False,higher,residual,21,Friday
2010-06-05 00:00:00,1.9819,1.9693,0.0127,3.7765,0.0767,1.7391,True,False,False,False,False,1,low,False,higher,rolling_z,0,Saturday
2010-06-05 22:00:00,3.0246,2.8457,0.1789,2.8656,-0.021,11.4314,False,True,True,False,False,2,medium,True,higher,"isolation_forest,residual",22,Saturday
2010-06-05 23:00:00,3.2483,2.9656,0.2827,3.0921,0.002,17.4839,True,False,True,False,True,2,medium,True,higher,"rolling_z,residual",23,Saturday
2010-06-06 00:00:00,2.7726,2.6517,0.1209,4.7864,0.0166,8.0499,True,False,True,True,True,2,medium,True,higher,"rolling_z,residual",0,Sunday
