Date,cluster,cluster_name,avg_consumption,peak_consumption,min_consumption,std_consumption,is_weekend
2006-12-17,2,Peak-Heavy Pattern,2.354486111111111,7.064,0.206,1.2057954435344829,1
2006-12-18,1,High Consumption Pattern,1.5304347222222223,6.158,0.202,1.0050741549206366,0
2006-12-19,2,Peak-Heavy Pattern,1.1570791666666667,7.84,0.194,1.23760241627707,0
2006-12-20,2,Peak-Heavy Pattern,1.5456583333333334,5.988,0.202,1.3209679795468874,0
2006-12-21,1,High Consumption Pattern,1.1924402777777778,5.854,0.194,0.9933702942045325,0
2006-12-22,2,Peak-Heavy Pattern,1.6259291666666669,7.884,0.202,1.436179939204263,0
2006-12-23,2,Peak-Heavy Pattern,3.314851388888889,8.698,0.208,1.5032763052392701,1
2006-12-24,2,Peak-Heavy Pattern,1.7708416666666669,6.824,0.196,1.2753698232947774,1
2006-12-25,2,Peak-Heavy Pattern,1.9049444444444443,6.702,0.198,1.4257552983044437,0
2006-12-26,2,Peak-Heavy Pattern,2.7320208333333333,6.496,0.418,0.9575494766645732,0
2006-12-27,1,High Consumption Pattern,1.0616388888888888,5.56,0.21,0.8255954029902615,0
2006-12-28,2,Peak-Heavy Pattern,1.4393319444444443,9.132,0.218,1.4362921419326407,0
2006-12-29,2,Peak-Heavy Pattern,2.204438888888889,7.238,0.216,1.3134129206327072,0
2006-12-30,2,Peak-Heavy Pattern,1.9460666666666666,9.078,0.204,1.748584490660682,1
2006-12-31,2,Peak-Heavy Pattern,2.426525,6.722,0.206,1.1642050770809431,1
2007-01-01,1,High Consumption Pattern,1.9090305555555556,3.558,0.204,0.9120673043449209,0
2007-01-02,1,High Consumption Pattern,0.8814138888888889,3.688,0.358,0.702746183396342,0
2007-01-03,0,Low Consumption Pattern,0.7042041666666666,5.19,0.23,0.562507154444502,0
2007-01-04,2,Peak-Heavy Pattern,2.2634805555555553,5.976,0.26,1.16080006300786,0
2007-01-05,2,Peak-Heavy Pattern,1.8842805555555555,5.73,0.222,1.0255427941793696,0
2007-01-06,3,Moderate Consumption Pattern,1.047484722222222,8.044,0.234,0.963160297111451,1
2007-01-07,2,Peak-Heavy Pattern,1.6997361111111111,7.774,0.24,1.6683028431485156,1
2007-01-08,1,High Consumption Pattern,1.5565,4.97,0.216,0.9102043970863523,0
2007-01-09,2,Peak-Heavy Pattern,1.2979541666666667,8.67,0.202,1.2559920993228828,0
2007-01-10,2,Peak-Heavy Pattern,1.496388888888889,6.836,0.212,1.2914481935287252,0
2007-01-11,2,Peak-Heavy Pattern,1.5661069444444444,7.754,0.21,1.4847192483337939,0
2007-01-12,1,High Consumption Pattern,1.014788888888889,6.478,0.206,0.9285887817857009,0
2007-01-13,2,Peak-Heavy Pattern,2.2130652777777775,9.272,0.212,1.901305509911016,1
2007-01-14,2,Peak-Heavy Pattern,2.090992361111111,7.64,0.202,1.3837106076802297,1
2007-01-15,1,High Consumption Pattern,1.4921375,5.896,0.208,0.9610469913121188,0
2007-01-16,1,High Consumption Pattern,1.1711138888888888,5.57,0.212,0.9961406379026229,0
2007-01-17,2,Peak-Heavy Pattern,1.977561111111111,8.0,0.206,1.4381090691128076,0
2007-01-18,1,High Consumption Pattern,1.2649041666666667,6.808,0.212,1.0897883769725356,0
2007-01-19,3,Moderate Consumption Pattern,1.0280833333333335,6.132,0.198,0.9973114846221709,0
2007-01-20,2,Peak-Heavy Pattern,2.1762027777777777,8.658,0.218,1.5066381088692833,1
2007-01-21,2,Peak-Heavy Pattern,2.366154166666667,8.018,0.206,1.8551407862702096,1
2007-01-22,2,Peak-Heavy Pattern,1.5142319444444445,7.722,0.212,1.234595759646174,0
2007-01-23,1,High Consumption Pattern,1.2344722222222222,6.036,0.202,1.226923858070117,0
2007-01-24,2,Peak-Heavy Pattern,2.074898611111111,7.248,0.212,1.172317007860733,0
