recommendation_id,Datetime,Actual,Predicted_LSTM,Predicted_XGBoost,actual_high_demand,actual_peak,actual_extreme_peak,pred_peak_lstm,pred_peak_xgboost,is_anomaly,severity,direction,methods_agree,cluster,cluster_name,recommendation_type,priority,recommendation,reason,supporting_signals
REC00001,2010-04-18 18:00:00,1.2978518518518518,1.3079140623526442,1.2422597688333332,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00002,2010-04-18 19:00:00,1.6653999999999998,1.6666603255666792,1.6636419083333331,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00003,2010-04-18 20:00:00,1.822566666666667,1.83201704954654,1.8067015483333333,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00004,2010-04-18 21:00:00,2.1953,2.2144198272496465,2.17566393,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Forecast High Consumption,HIGH,Reduce or postpone non-essential electricity use during this forecast high-consumption period.,"Both forecasting models predict consumption above the 90th-percentile threshold of 1.932. LSTM = 2.214, XGBoost = 2.176.",High Demand Detected | Both Models Forecast High Consumption | High Consumption Pattern
REC00005,2010-04-18 22:00:00,1.1287999999999998,1.1611869875125589,1.1047828173333334,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00006,2010-04-18 23:00:00,0.5014,0.5171707927159965,0.4888653371666667,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00007,2010-04-19 00:00:00,0.3787999999999999,0.3930549533847719,0.3736725023333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00008,2010-04-19 01:00:00,0.3616333333333333,0.3763882259584962,0.3601298976666667,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00009,2010-04-19 02:00:00,0.4412666666666666,0.4556413084555417,0.4391931515,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00010,2010-04-19 03:00:00,0.3892,0.401630119779706,0.3828366448333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00011,2010-04-19 04:00:00,0.3544333333333333,0.3657784855749458,0.347537184,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00012,2010-04-19 05:00:00,0.3192666666666666,0.333513017399609,0.3142480601666667,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00013,2010-04-19 06:00:00,1.0650666666666666,1.0734958201386036,1.0594855923333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00014,2010-04-19 07:00:00,0.5800333333333333,0.6194517596606166,0.5912450956666666,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00015,2010-04-19 08:00:00,0.3746333333333333,0.3810167212307452,0.3688824731666666,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00016,2010-04-19 09:00:00,1.0736,1.087646501817182,1.069329084,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00017,2010-04-19 10:00:00,2.2938,2.291614063692093,2.2787079416666667,True,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Forecast High Consumption,HIGH,Reduce or postpone non-essential electricity use during this forecast high-consumption period.,"Both forecasting models predict consumption above the 90th-percentile threshold of 1.932. LSTM = 2.292, XGBoost = 2.279.",High Demand Detected | Both Models Forecast High Consumption | High Consumption Pattern
REC00018,2010-04-19 11:00:00,1.798266666666667,1.8115400000534951,1.786993545,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00019,2010-04-19 12:00:00,1.699733333333333,1.7105109829939904,1.6989679033333334,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00020,2010-04-19 13:00:00,1.5137,1.5162846230231226,1.509975215,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00021,2010-04-19 14:00:00,1.4145333333333334,1.4270183054871857,1.4066144516666663,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00022,2010-04-19 15:00:00,1.4509666666666667,1.4640707036435603,1.4497063783333333,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00023,2010-04-19 16:00:00,1.473666666666667,1.4848280364833772,1.4670855816666666,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00024,2010-04-19 17:00:00,2.682733333333333,2.6276117278523743,2.6684769483333333,True,True,False,True,True,False,none,higher,0,1.0,High Consumption Pattern,Peak Demand Reduction,HIGH,Reduce non-essential demand and shift flexible loads to lower-demand periods.,Peak demand was detected with actual consumption of 2.683. The consumption profile is classified as High Consumption Pattern.,Peak Detected | High Demand Detected | LSTM Predicted Peak | XGBoost Predicted Peak | Both Models Forecast High Consumption | High Consumption Pattern
REC00025,2010-04-19 18:00:00,2.1485333333333334,2.182418999417126,2.142088877166666,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Forecast High Consumption,HIGH,Reduce or postpone non-essential electricity use during this forecast high-consumption period.,"Both forecasting models predict consumption above the 90th-percentile threshold of 1.932. LSTM = 2.182, XGBoost = 2.142.",High Demand Detected | Both Models Forecast High Consumption | High Consumption Pattern
REC00026,2010-04-19 19:00:00,2.1934666666666667,2.173267010882124,2.196970509166667,True,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Forecast High Consumption,HIGH,Reduce or postpone non-essential electricity use during this forecast high-consumption period.,"Both forecasting models predict consumption above the 90th-percentile threshold of 1.932. LSTM = 2.173, XGBoost = 2.197.",High Demand Detected | Both Models Forecast High Consumption | High Consumption Pattern
REC00027,2010-04-19 20:00:00,1.8416333333333332,1.80215002717264,1.8301318216666669,True,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00028,2010-04-19 21:00:00,1.6705,1.648892676729709,1.657254651,True,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00029,2010-04-19 22:00:00,0.6129333333333332,0.6298217640988529,0.5926507211666667,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00030,2010-04-19 23:00:00,0.3441666666666666,0.3597404376156628,0.3368444238333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00031,2010-04-20 00:00:00,1.0682666666666667,1.0755474547334016,1.0627258176666667,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
